cgpa,attendance,coding_score,projects,internships,communication_score,placed
6.87,55.2,79.5,4,1,99.5,0
9.75,95.1,40.7,3,3,89.6,1
8.66,75.3,70.3,4,1,44.6,1
7.99,91.3,72.5,2,2,95.1,1
5.78,66.0,59.7,0,0,38.1,0
5.78,94.8,81.6,5,0,87.2,1
5.29,69.5,95.4,2,0,56.6,0
9.33,50.5,94.8,2,0,91.5,1
8.01,95.3,61.6,1,3,90.8,1
8.54,54.6,37.9,1,0,86.4,0
5.1,66.0,98.9,1,0,85.3,0
9.85,97.5,88.7,5,0,51.3,1
9.16,97.5,38.7,1,0,35.7,0
6.06,78.7,94.5,4,2,58.2,1
5.91,81.6,90.9,3,0,42.1,0
5.92,72.4,66.3,0,2,78.6,0
6.52,64.7,71.4,2,3,54.2,0
7.62,66.4,57.9,4,1,98.3,1
7.16,83.6,33.8,0,0,74.9,0
6.46,87.6,53.5,4,1,87.6,0
8.06,89.6,86.2,4,1,39.3,1
5.7,89.5,30.3,2,3,90.3,0
6.46,54.6,53.3,3,1,94.6,1
6.83,74.7,57.9,1,2,64.1,1
7.28,52.9,67.6,5,1,72.4,0
8.93,77.5,94.4,3,1,83.5,1
6.0,72.1,54.2,5,1,42.2,0
7.57,94.4,54.3,2,0,65.2,0
7.96,67.5,81.6,2,0,57.9,0
5.23,55.9,61.7,2,2,40.2,0
8.04,57.1,45.7,0,2,55.7,0
5.85,88.1,61.7,5,0,34.8,0
5.33,80.9,39.9,3,2,31.8,0
9.74,55.1,42.3,3,0,39.5,0
9.83,54.2,64.9,4,3,97.4,1
9.04,85.0,59.3,4,1,68.5,1
6.52,53.6,94.0,4,1,97.6,1
5.49,91.1,55.4,2,2,60.3,0
8.42,85.3,70.6,3,0,51.8,1
7.2,54.1,74.3,5,0,65.4,1
5.61,54.2,30.9,2,2,60.8,0
7.48,99.3,76.4,0,0,37.4,0
5.17,68.7,42.5,4,3,74.9,0
9.55,68.5,97.3,2,1,45.1,1
6.29,90.6,40.4,2,2,73.4,0
8.31,97.4,59.0,0,2,75.5,1
6.56,99.3,36.0,1,0,40.6,0
7.6,87.7,99.8,3,2,34.3,1
7.73,68.8,65.2,5,3,84.7,1
5.92,54.2,71.7,1,0,62.2,0
9.85,88.9,34.7,4,0,34.1,0
8.88,77.9,82.5,2,0,99.6,1
9.7,71.2,44.7,0,0,34.0,0
9.47,95.3,92.9,0,3,78.7,1
7.99,55.6,44.4,3,0,98.9,0
9.61,74.6,43.3,1,2,46.7,1
5.44,50.6,32.6,3,3,40.0,0
5.98,73.4,63.0,2,1,38.5,0
5.23,52.8,69.5,3,1,51.2,0
6.63,55.9,34.6,5,2,37.1,0
6.94,55.9,84.3,0,2,78.5,0
6.36,82.5,61.7,0,3,34.4,0
9.14,87.3,66.7,4,1,65.7,1
6.78,79.2,60.9,4,1,99.8,1
6.4,98.1,58.1,2,1,87.0,0
7.71,68.7,69.2,5,1,73.1,1
5.7,64.3,40.9,1,1,51.4,0
9.01,93.4,42.7,3,0,73.7,1
5.37,61.2,90.3,2,2,66.9,0
9.93,98.2,96.2,4,0,59.8,1
8.86,50.6,56.1,3,1,39.1,0
